Accident_Id,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
202200019260,21,12,2022,17:40,3,2B,2B074,1,1,2,1,RT 20 PK 078.00,"42,2750940000","9,1700220000"
202200003982,2,5,2022,12:40,1,86,86081,1,2,1,1,Route des Trainebots,"46,7855330000","0,4803810000"
202200015144,1,2,2022,11:00,1,83,83061,2,1,1,6,RUE DES COMBATTANTS D'AFRIQUE DU NORD,"43,4512080954","6,7270293832"
202200004596,3,7,2022,17:40,1,73,73268,2,1,1,7,D66 - Route des Trois Villages,"45,6001022761","6,4384371936"
202200007435,28,4,2022,19:15,1,75,75107,2,2,1,6,RUE D ESTREES,"48,8517670000","2,3138560000"
202200013175,11,9,2022,10:30,1,46,46055,1,1,1,2,départementale 840,"44,5862190000","2,0877030000"
202200021906,7,10,2022,09:00,1,94,94059,2,6,1,3,Avenue Maurice Berteaux / Avenue Paul Lafargue,"48,8160864516","2,5620531087"
202200026352,22,7,2022,16:20,1,76,76498,2,2,1,6,Rue Pierre Corneille,"49,4270200000","1,0524900000"
202200038276,6,12,2022,18:45,3,83,83116,1,1,1,2,,"43,4565560000","5,8451660000"
202200013366,24,5,2022,19:30,1,77,77510,1,1,1,7,D88A,"48,8270610000","2,7906350000"
202200034666,27,8,2022,17:45,1,63,63093,1,1,1,6,Les Falvards,"45,9930534550","3,0220207572"
202200004189,15,9,2022,09:35,1,78,78126,1,1,1,2,A13,"48,8369020000","2,1265740000"
202200034102,1,10,2022,19:30,5,33,33256,2,1,1,1,9 Rue du 8 Mai 1945,"44,9863640000"," -0,6051490000"
202200046865,30,3,2022,15:50,1,92,92014,2,1,1,3,BIEVRE (RUE DE LA),"48,7803429492","2,3224676549"
202200054175,7,7,2022,17:53,1,76,76057,2,1,1,1,Rue Pierre et Marie Curie,"49,5419200000","0,9541400000"
202200033113,12,4,2022,15:30,1,14,14431,1,2,2,3,D40,"49,0686230000"," -0,1304840000"
202200035998,28,9,2022,23:40,5,75,75106,2,2,1,6,BOULEVARD RASPAIL,"48,8513470000","2,3268590000"
202200054917,3,6,2022,16:20,1,49,49112,1,1,1,1,D347,"47,1701110000"," -0,1389600000"
202200032297,6,12,2022,17:42,5,83,83069,1,1,1,2,NICE (ROUTE DE),"43,1274700000","6,1885300000"
202200033941,3,6,2022,07:45,1,74,74167,1,1,1,2,route  d'annecy,"45,7653370000","6,3380270000"
202200047417,10,5,2022,17:55,1,35,35238,2,1,1,2,MOINE (LOUIS ET RENE),"48,0905511375"," -1,6822372377"
202200009610,25,12,2022,03:45,4,76,76447,2,1,1,6,PRESIDENT WILSON,"49,5437000000","0,1826100000"
202200045961,12,9,2022,12:50,1,2B,2B033,2,1,1,3,SAMPIERO CORSO - AV,"42,6770000000","9,4440000000"
202200009137,20,11,2022,18:40,5,973,97302,2,1,1,7,FELIX EBOUE(ROCADE),"4,9272700000"," -52,3196100000"
202200017319,6,9,2022,09:15,1,09,09122,2,9,1,6,VILLOTE (ALLEES DE),"42,9635730000","1,6071930000"
202200028806,5,3,2022,21:30,3,41,41042,1,1,1,6,Le Grand Brouard,"47,2105130000","1,3276990000"
202200017371,12,3,2022,12:10,1,59,59043,1,1,1,1,BELLE CROIX (RUE DE LA),"50,7162659179","2,6917764544"
202200015009,4,2,2022,18:00,4,69,69290,1,1,1,4,Autoroute 46,"45,6835100000","4,9618600000"
202200024499,22,5,2022,19:40,1,40,40134,1,1,1,7,"ROUTE DÉPARTEMENTALE E10, PK 21+700","44,2260030000"," -0,8992630000"
202200016229,13,4,2022,16:45,1,38,38544,2,1,1,1,ST MARCEL(MONTEE),"45,5151500000","4,8900200000"
202200014531,29,7,2022,09:20,1,51,51454,2,2,1,2,rue Jules Guichard,"49,2669800000","4,0241100000"
202200004661,4,8,2022,22:41,3,56,56121,2,2,1,3,MOUSTOIR ( RD PT DU ),"47,7522600000"," -3,3706100000"
202200027808,25,1,2022,07:55,1,26,26198,2,1,1,6,DESMARAIS (Boulevard Marre),"44,5601400000","4,7479000000"
202200021158,9,3,2022,11:10,1,13,13212,2,1,1,2,,"43,3000000000","5,4300000000"
202200013722,6,2,2022,13:10,1,91,91521,1,1,2,7,RN 104,"48,6321300000","2,4011000000"
202200044957,22,10,2022,20:30,5,88,88261,2,3,1,7,Rue Maurice Mougeot,"48,1941300000","6,7039270000"
202200002442,11,7,2022,19:10,1,13,13033,1,1,1,5,D9d,"43,3598450000","5,1844850000"
202200020349,1,2,2022,06:50,5,75,75112,2,4,2,3,ESPLANADE SAINT LOUIS,"48,8400910000","2,4367310000"
202200009351,30,4,2022,09:40,1,80,80011,2,1,1,2,47 Rue Jean Catelas,"49,9239670000","2,2069240000"
202200017310,12,3,2022,22:18,5,69,69259,2,3,1,3,Boulevard Marcel Sembat,"45,7143700000","4,8794400000"
202200000960,10,10,2022,17:10,2,78,78624,2,1,1,1,FRERES LEIRIS RUE DES,"48,9950860000","2,0191880000"
202200027406,14,4,2022,09:38,1,06,06088,1,1,1,6,MERCANTOUR (BD),"43,6757200000","7,2017600000"
202200031125,19,6,2022,18:45,1,91,91468,1,1,1,4,AUTOROUTE A6,"48,5749800000","2,4661600000"
